我的美丽日志(beauty diary),,2014,中国台湾,,http://hzp.rayli.com.cn/beautydiary/index.html,面膜(21),去角质(3);祛痘去印(3);调理油脂平衡(4);除痘(1);补水(8);保湿(9);清洁(2);活肤滋润(9);护理(3);去黑头(1);细致毛孔(3);美白(6);均匀肤色(4);提拉紧致(3);紧致(1);深层补水(6);控油平衡(1),
贝德玛(Bioderma),Jean-Noel Thorel,2008,法国,bioderma,http://hzp.rayli.com.cn/bioderma/index.html,眼霜(3);身体乳/霜/(2);乳液/凝露/(2);面霜(6);洁面乳/皂(8);防晒(4);去角质霜(1);爽肤/化妆水(3);精华素/液(2);卸妆油/液/(1);洁面工具(1),防晒(5);补水(10);活肤滋润(3);保湿(19);淡化细纹(2);去角质(3);卸妆(4);清洁(9);控油平衡(8);抗敏(3);修护肌肤(1);细致毛孔(2);去黑眼圈(1);提拉紧致(1);美白(1);提亮肤色(1);消炎镇定(1);防止皮肤骚痒(1),赋妍系列(3);舒妍系列(6);皙妍系列(4);净妍系列(6);水润保湿系列(6);净白系列(0);玛皙妍系列(0);未归入系列者(0)
碧欧泉(Biotherm),卢西安-欧博,2011,摩洛哥,欧莱雅,http://hzp.rayli.com.cn/biotherm/index.html,去角质霜(7);爽肤/化妆水(33);洁面乳/皂(43);沐浴露(9);去角质/磨砂(1);身体乳/霜/(21);护发产品(1);眼霜(14);面部/剃须护(69);面膜(24);纤体产品(13);面霜(36);防晒(18);护手产品(4);隔离霜(25);精华素/液(51);乳液/凝露/(55);其它男士产品(5);其它护肤品(8);其它香水(3);其它身体护理(3);身体护理(2);身体护理工具(1);卸妆油/液/(6);护肤工具(1);按摩霜/乳(1);粉饼(3);丰胸产品(2);粉底液/霜(4);遮瑕膏/笔/(1);散粉/蜜粉(1);护理唇膏(1);眼部护理(2);身体防晒霜(1);美黑/仿晒霜(1);男士套装(1);唇部护理(1);女性香水(2);气垫CC(1),去角质(45);淡斑(21);祛痘去印(25);清洁(82);身体滋润(16);身体清洁(9);身体按摩(3);护理(3);抗皱紧肤(26);提亮肤色(79);细致毛孔(26);控油平衡(40);瘦腿(10);提臀(3);祛斑(4);防晒(42);活肤滋润(67);底妆(28);净化排毒(23);美白(77);深层补水(13);卸妆(14);保湿(143);护唇(4);抗老化(30);补水(34);香体(4);提拉紧致(24);晒后修护(3);去黑眼圈(19);除眼袋(5);淡化细纹(33);仿晒美黑(9);瘦腰腹(12);瘦手臂(5);丰胸(4);吸油(4);消炎镇定(10);均匀肤色(22);抗敏(7);修护肌肤(7);祛橘皮(5);去黑头(1);调理油脂平衡(6);女士香水(3);紧致(1);眼部彩妆(1);防紫外线(4);促进新陈代谢(3);香水香氛(1);身体防晒(1);舒缓压力(2);造型(1),脸部护理(11);深海源萃白(11);男士清脂(4);净肤细致清痘(10);橄榄青春(7);男士保湿基础(4);男士清痘(1);男士防晒(2);男士橄榄叶青(1);男士劲能古铜(3);男士身体(2);男士抗老(2);男士炽能醒肤(3);御尊至能紧致(1);男士活氧净化(5);SKIN C(0);泉爽肤SKI(0);碧欧泉BIO(0);碧欧泉BIO(0);碧欧泉BIO(0);碧欧泉BIO(0);碧欧泉BIO(0);碧欧泉BIO(0);2009 W(0);SKIN V(0)
澳佳宝(Blackmores),,1930,澳洲,,http://hzp.rayli.com.cn/blackmores/index.html,美容食品(1),美白(1);身体滋润(1);提亮肤色(1),
芭比·波朗(Bobbi Brown),芭比·波朗,1991,美国,雅诗兰黛,http://hzp.rayli.com.cn/bobbibrown/index.html,睫毛膏/液(10);眼影(33);腮红(11);唇膏/唇彩/(37);眉笔/眉粉(6);彩妆工具(51);爽肤/化妆水(7);粉底液/霜(14);其它彩妆(7);散粉/蜜粉(4);粉饼(6);眼线笔/液(7);护理唇膏(3);修容粉/膏/(2);洁面乳/皂(10);乳液/凝露/(3);隔离霜(9);面霜(6);眼霜(3);精华素/液(8);精油(1);遮瑕膏/笔/(9);妆前乳/液/(1);去角质霜(1);护手产品(2);其它护肤品(2);防晒(3);粉条(3);指甲油(1);男性香水(1);女性香水(1);彩妆套装(4);卸妆油/液/(3);唇部护理(1),眼部彩妆(59);面部彩妆(40);唇部彩妆(39);底妆(26);保湿(32);美白(9);防晒(25);卸妆(6);淡化细纹(2);提亮肤色(7);眉部彩妆(4);活肤滋润(3);抗皱紧肤(1);去角质(3);清洁(8);修护肌肤(2);去黑眼圈(3);控油平衡(2);护唇(3);抗老化(1);护理(2);指甲彩妆(1);女士香水(2);补水(3);唇部护理(1);防紫外线(2);造型(1);均匀肤色(2),基础护理系列(1);至盈亮白系列(0);至盈呵护系列(1);炫目派对夏季(0);2010圣诞(0);专业服务系列(0);未归入系列者(1)
鸢苏(BIEN SUR),,2014,法国,,http://hzp.rayli.com.cn/biensur/index.html,指甲油(60),指甲彩妆(60),经典原色系列(12);巴黎风尚系列(8);午后阳光系列(6);爱·浮生系列(6);情迷凡尔赛系(5);莫纳花园系列(4);普罗旺斯之恋(3);左岸咖啡系列(2);蓝色海岸系列(4);裸色系列(4);舞者套装(1);新婚套装(1);功能油系列(2);巴黎日夜套装(1)
贝玲妃(Benefit),Jane Ford,1976,美国,路威酩轩,http://hzp.rayli.com.cn/benefit/index.html,女性香水(24);散粉/蜜粉(29);眼影(16);其它彩妆(12);护理唇膏(3);眼线笔/液(11);唇膏/唇彩/(31);腮红(10);眼霜(6);睫毛膏/液(10);洗发产品(1);身体乳/霜/(5);爽肤/化妆水(8);眉笔/眉粉(4);粉饼(3);乳液/凝露/(4);隔离霜(3);面霜(7);防晒(3);其它底妆(7);遮瑕膏/笔/(18);护肤工具(1);妆前乳/液/(2);粉底液/霜(7);洁面乳/皂(8);纤体产品(2);沐浴露(1);彩妆工具(21);按摩霜/乳(1);面膜(1);彩妆套装(5);香体粉(1);底妆工具(1);眼部护理(1);去角质霜(1);卸妆油/液/(1);其它护肤品(4);精华素/液(1),香水香氛(19);香体(19);女士香水(21);底妆(70);眼部彩妆(56);眉部彩妆(12);护唇(3);唇部彩妆(43);面部彩妆(35);去黑眼圈(7);护理(5);身体滋润(3);细致毛孔(3);吸油(3);保湿(25);防晒(5);控油平衡(4);抗老化(1);仿晒美黑(3);祛痘去印(5);提亮肤色(9);均匀肤色(3);造型(5);活肤滋润(10);淡化细纹(4);清洁(11);提拉紧致(3);除眼袋(2);抗皱紧肤(2);去角质(2);身体清洁(1);补水(2);唇部护理(1);除痘(3);晒后修护(1);促进新陈代谢(1);瘦腰腹(1);瘦腿(1);瘦手臂(1);修护肌肤(1);卸妆(1);深层补水(1);调理油脂平衡(1);美白(1),新月大街淡香(4);彩妆系列(102);护肤系列(47);新月大街系列(3);专业服务系列(0);未归入系列者(0);寻美觅爱系列(8)
宝格丽(BVLGARI),索蒂里奥·布尔加里,1900,意大利,BVLGARI,http://hzp.rayli.com.cn/bvlgari/index.html,女性香水(35);男性香水(14);其它香水(3),女士香水(34);男士香水(13);中性香水(3);香水香氛(1),女士香水(36);男士香水(12);中性香水(1);面霜/乳液(0);香水套装(1);沐浴露(0);润体乳/霜(0);洗发品(0);儿童香水(0)
萃雅(Beautrio),,2010,,,http://hzp.rayli.com.cn/beautrio/index.html,其它护肤品(5);洁面乳/皂(4);乳液/凝露/(8);爽肤/化妆水(3);眼霜(2);面霜(6);面部/剃须护(2);男士套装(1);粉底液/霜(1);唇膏/唇彩/(1),控油平衡(15);活肤滋润(26);保湿(27);去黑眼圈(2);调理油脂平衡(3);清洁(2);美白(6);抗皱紧肤(6);抗老化(4);紧致(1);面部彩妆(2);底妆(1);均匀肤色(1);唇部彩妆(1);唇部护理(1),
爱诗黛菈(Astara),,2015,,,http://hzp.rayli.com.cn/astara/index.html,精华素/液(1);洁面乳/皂(1);爽肤/化妆水(1);面膜(2);眼霜(1),淡斑(1);补水(1);美白(1);保湿(5);身体滋润(1);清洁(2);提拉紧致(1),
